MSE,std_MSE,alpha,epochs,nodes,dropout,activation,batch_size,sequence_length,sensor_length
2014.8418375651042,376.13487915975594,0.05,5,"[64, 128]",0.3,tanh,64,10,11
3019.5116170247397,1060.1429784394293,0.01,10,"[64, 128]",0.4,tanh,256,10,11
3444.457777235243,1061.093266465108,0.3,5,"[128, 256]",0.2,sigmoid,128,10,11
2996.459950764974,1231.7172695077434,0.3,10,[64],0.3,tanh,32,10,11
2716.9582682291666,1240.3568316141805,0.5,5,[128],0.3,sigmoid,32,10,11
2845.160847981771,1173.465202508775,0.6,5,[256],0.1,sigmoid,128,10,11
3164.4868977864585,1343.6813761522963,0.2,5,[32],0.2,sigmoid,32,10,11
3185.8248392740884,1261.741641883216,0.2,5,[256],0.3,sigmoid,128,10,11
2987.3189493815103,1329.896752044301,0.1,15,[128],0.2,sigmoid,32,10,11
3333.2401794433595,1636.7836770856643,0.1,10,[64],0.4,sigmoid,128,10,11
3191.2286691376657,1632.627427602687,0.2,15,"[128, 256]",0.1,tanh,32,10,11
3053.804204305013,1631.9182684967764,0.4,20,[128],0.1,tanh,128,10,11
2944.359573755509,1618.2464276866854,0.2,20,[256],0.4,tanh,128,10,11
3183.207018171038,1782.92665502579,0.1,10,"[64, 128]",0.3,sigmoid,256,10,11
3077.573192003038,1772.0025851503078,0.4,10,[64],0.4,tanh,32,10,11
2984.1754671732583,1758.1038818042305,0.05,10,"[64, 128]",0.2,sigmoid,32,10,11
2899.6942820829504,1742.5709585453997,0.5,20,"[32, 64]",0.4,sigmoid,32,10,11
2815.1752500180846,1732.0015144821446,0.05,15,"[128, 256]",0.3,tanh,128,10,11
2751.98360617119,1711.564332967518,0.5,10,[256],0.1,sigmoid,64,10,11
2688.4613728841146,1695.086221952048,0.05,15,"[128, 256]",0.2,tanh,128,10,11
